d_geo_continent,d_geo_country,d_geo_region,m_visits,m_page_views,m_page_views_per_entering_visits,m_page_views_per_visits,m_bounce_rate,m_bq,m_bounces,m_time_spent,m_time_spent_per_pages,m_entry_rate,m_entering_visits,m_time_spent_per_visits,Months,Years
Afrique,Maroc,souss-massa,358,1104,5.6049382716,3.0837988827,0.5474860335,53.4555985207,196,42381,46.6751101322,0.4525139665,162,261.6111111111,january,2020
Amérique du Nord,Etats Unis,Illinois,355,766,8.7547169811,2.1577464789,0.8507042254,99.9515543106,302,49003,105.6099137931,0.1492957746,53,924.5849056604,january,2020
Europe,Suisse,Argovie,344,2901,15.8662790698,8.4331395349,0.5,527.4229304224,172,395663,144.9846097472,0.5,172,2300.3662790698,january,2020
Amérique du Nord,Etats Unis,Tennessee,344,344,0,1,1,0,344,0,0,0,0,0,january,2020
Europe,Suède,Östergötland,339,1268,6.3390804598,3.7404129794,0.4867256637,79.6757898156,165,65867,59.7162284678,0.5132743363,174,378.5459770115,january,2020
Europe,Belgique,Province de Luxembourg,332,701,5.1,2.1114457831,0.7289156627,35.8898498724,242,24063,52.4248366013,0.2710843373,90,267.3666666667,january,2020
Europe,Allemagne,Basse Saxe,324,1142,6.2101910828,3.524691358,0.5154320988,87.3149740689,167,72674,74.5374358974,0.4845679012,157,462.8917197452,january,2020
Europe,Belgique,Flandre Occidentale,322,949,5.8604651163,2.9472049689,0.599378882,55.4234203799,193,40045,52.9695767196,0.400621118,129,310.4263565891,january,2020
Europe,Suisse,Lucerne,307,991,5.7832167832,3.2280130293,0.5342019544,59.5975885973,164,41837,50.5888754534,0.4657980456,143,292.5664335664,january,2020
Asie,Thaïlande,pattaya,307,1169,5.8700564972,3.8078175896,0.4234527687,91.386683022,130,74626,71.8248315688,0.5765472313,177,421.615819209,january,2020
Europe,Suède,Stockholm,294,1336,8.8939393939,4.5442176871,0.5510204082,163.017787018,162,118602,101.0238500852,0.4489795918,132,898.5,january,2020
Europe,Norvège,Østlandet,284,1048,6.3802816901,3.6901408451,0.5,59.9990691251,142,34735,38.3388520971,0.5,142,244.6126760563,january,2020
Europe,Allemagne,Rhénanie Palatinat,282,2793,15.6842105263,9.9042553191,0.3936170213,561.2052526493,111,374496,139.6331096197,0.6063829787,171,2190.0350877193,january,2020
Amérique du Nord,Mexique,Quintana Roo,281,1244,8.704,4.4270462633,0.5551601423,75.2885580034,156,38541,35.4237132353,0.4448398577,125,308.328,january,2020
Asie,Indonésie,Bali,275,635,4.6734693878,2.3090909091,0.6436363636,50.1280563242,177,33009,72.0720524017,0.3563636364,98,336.8265306122,january,2020
Europe,Espagne,Iles Canaries,274,731,5.6632653061,2.6678832117,0.6423357664,45.3257521429,176,26175,47.1621621622,0.3576642336,98,267.0918367347,january,2020
Asie,Thaïlande,Chiang Mai,273,1051,6.1866666667,3.8498168498,0.4505494505,56.4100903462,123,28350,30.5495689655,0.5494505495,150,189,january,2020
Afrique,Djibouti,djibouti,268,767,6.4835164835,2.8619402985,0.6604477612,47.912454583,177,25339,42.9474576271,0.3395522388,91,278.4505494505,january,2020
Asie,Hong-Kong,Indeterminés,264,519,4.6428571429,1.9659090909,0.7348484848,34.0306327719,194,18509,56.9507692308,0.2651515152,70,264.4142857143,january,2020
Europe,Royaume Uni,West Midlands,262,782,4.7142857143,2.9847328244,0.465648855,106.4728312232,122,81435,123.3863636364,0.534351145,140,581.6785714286,january,2020
Amérique du Sud,Nicaragua,Managua,260,1046,5.2486486486,4.0230769231,0.2884615385,150.5294103633,75,123136,126.8135942328,0.7115384615,185,665.6,january,2020
Océanie,Australie,New South Wales,258,570,6.5714285714,2.2093023256,0.7829457364,72.6044469741,202,35483,96.4211956522,0.2170542636,56,633.625,january,2020
Amérique du Nord,Etats Unis,Michigan,251,264,2.8571428571,1.0517928287,0.9721115538,4.5725511258,244,559,27.95,0.0278884462,7,79.8571428571,january,2020
Asie,Thaïlande,Surat Thani,242,811,6.3177570093,3.3512396694,0.5578512397,71.5221538962,135,41082,60.7721893491,0.4421487603,107,383.9439252336,january,2020
Europe,Luxembourg,esch an der alzette,236,3003,28.1274509804,12.7245762712,0.5677966102,1288.3808741224,134,458994,159.9839665389,0.4322033898,102,4499.9411764706,january,2020
Europe,Roumanie,Bucaresti,233,581,5.5194805195,2.4935622318,0.669527897,60.097201625,156,32558,76.6070588235,0.330472103,77,422.8311688312,january,2020
Afrique,Algérie,Oran,233,462,4.6935483871,1.982832618,0.7339055794,29.9836210084,171,13727,47.1718213058,0.2660944206,62,221.4032258065,january,2020
Asie,Japon,Tokyo,231,551,5.3835616438,2.3852813853,0.683982684,48.2814817436,158,24651,62.7251908397,0.316017316,73,337.6849315068,january,2020
Europe,Allemagne,Hambourg,228,559,5.1898734177,2.451754386,0.6535087719,48.6550901471,149,25262,61.6146341463,0.3464912281,79,319.7721518987,january,2020
Afrique,Bénin,littoral,225,440,3.7922077922,1.9555555556,0.6577777778,74.0150405145,148,41265,141.3184931507,0.3422222222,77,535.9090909091,january,2020
Europe,Suisse,Saint-Gall,214,989,6.4964539007,4.6214953271,0.3411214953,110.3013842082,73,62466,68.1943231441,0.6588785047,141,443.0212765957,january,2020
Europe,Suisse,Bâle-Ville,212,827,5.842519685,3.9009433962,0.4009433962,69.9809278918,85,33570,45.2425876011,0.5990566038,127,264.3307086614,january,2020
Europe,Italie,Sicilia,210,676,5.1981981982,3.219047619,0.4714285714,78.1082320965,99,43960,76.1871750433,0.5285714286,111,396.036036036,january,2020
Amérique du Sud,Brésil,Sao Paulo,206,839,10.7384615385,4.072815534,0.6844660194,72.1400768212,141,22632,32.4240687679,0.3155339806,65,348.1846153846,january,2020
